ID, Latitude, Longitude, PM
460,40.474567,-111.891498,13.41
461,40.74148,-111.818374,2
462,40.74148,-111.818374,9.78
4774,40.726098,-111.532678,5.66
4775,40.726098,-111.532678,6.12
5014,40.770605,-111.900118,3.05
5015,40.770605,-111.900118,4.38
5106,40.282591,-111.699097,9.12
5107,40.282591,-111.699097,6.39
5129,40.285429,-111.71468,9.6
5130,40.285429,-111.71468,9.46
5133,40.286447,-111.686284,8.22
5134,40.286447,-111.686284,6.95
5135,40.324206,-111.715007,9.31
5136,40.324206,-111.715007,8.3
5145,40.308326,-111.704985,8.15
5146,40.308326,-111.704985,8.07
5155,40.272822,-111.680784,9.07
5156,40.272822,-111.680784,9.24
5174,41.172134,-111.923889,1.05
5175,41.172134,-111.923889,1
5298,40.733523,-111.573224,4.5
5299,40.733523,-111.573224,4.5
53,40.246743,-111.704804,6.84
5408,40.9874,-111.9286,0.24
5409,40.9874,-111.9286,0.51
5460,40.72751,-111.861434,5.67
5461,40.72751,-111.861434,5.74
5482,40.474133,-111.838699,11.05
5483,40.474133,-111.838699,9.93
5486,40.557209,-111.820857,9.6
5487,40.557209,-111.820857,9.54
5560,40.667309,-111.799645,6.9
5561,40.667309,-111.799645,7.46
5572,40.522303,-111.929191,11.05
5573,40.522303,-111.929191,12.07
5576,41.326249,-111.966385,0.07
5577,41.326249,-111.966385,0.13
5584,40.649106,-111.283494,3.05
5585,40.649106,-111.283494,3.76
5626,40.788936,-111.86458,3.21
5627,40.788936,-111.86458,3.19
5640,40.479545,-111.395342,6.79
5641,40.479545,-111.395342,6.49
5692,40.507019,-111.88668,12.89
5693,40.507019,-111.88668,11.86
5694,40.098047,-111.678029,12.91
5695,40.098047,-111.678029,12
5696,40.388826,-109.791865,3.85
5697,40.388826,-109.791865,5.87
5700,41.321125,-112.032945,5.81
5701,41.321125,-112.032945,0.18
5702,40.609615,-111.794132,9.13
5703,40.609615,-111.794132,10.74
5704,40.849575,-111.870652,2.37
5705,40.849575,-111.870652,2.83
5714,40.708252,-112.098628,12.91
5715,40.708252,-112.098628,17.02
5716,40.432941,-111.768076,10.49
5717,40.432941,-111.768076,8.71
5718,40.640174,-111.931699,6.62
5719,40.640174,-111.931699,6.89
5720,41.766739,-111.855006,6.84
5721,41.766739,-111.855006,7.9
5728,40.313946,-111.697006,0
5729,40.313946,-111.697006,8.77
5732,40.308383,-111.729892,8.95
5733,40.308383,-111.729892,8.39
5734,40.394865,-111.924794,13.83
5735,40.394865,-111.924794,12.02
5736,40.298554,-111.705476,8.48
5737,40.298554,-111.705476,8.34
5742,40.734143,-111.846157,4.5
5743,40.734143,-111.846157,4.06
5750,40.301519,-111.712314,8.98
5751,40.301519,-111.712314,9.2
